index,name,place_id,lat,lng,city,state,grade,usa,iac,hm,tsa,nfo,vehicles,phone,fax,account,email,phone2,notes,contact
415,A Fast Trac Courier Service,,0,0,W. Palm Beach,FL,4,0,0,0,0,0,n,(561) 835-0379,,,,,not weekends,
416,American Expediting,,0,0,W. Palm Beach,FL,3,0,1,0,0,0,n,,,,,,,
417,Bonded Courier,,0,0,W. Palm Beach,FL,3,0,0,0,0,0,n,(561) 832-3388,,,,,,
418,J&L Courier,,0,0,W. Palm Beach,FL,3,0,0,0,0,0,n,(561) 758-3724,(561) 798-4432,,jlcouriers@aol.com,,1.30 mile,Larry
419,Monroe,,0,0,W. Palm Beach,FL,3,0,0,0,0,0,n,(877) 563-6667,,,,,,
420,Joe's Courier,,0,0,Winter Haven,FL,3,0,0,0,0,0,n,(863) 698-5896,,,,,not for long,
421,Joe's Courier,,0,0,Lake Wales,FL ,3,0,0,0,0,0,n,(863) 698-5896,,,joescourier@gmail.com,Pam: 863-528-7917,No long-charges RT,
422,Black Taxi,,0,0,Alama,GA,3,0,0,0,0,0,n,(912) 286-2802,,,,,,Lee
423,Cross 3 Delivery,,0,0,Albany,GA,3,0,0,0,0,0,n,(229) 449-0856,(229) 888-2674,,crossinc@aol.com,,,Ricky
424,G&G ,,0,0,Albany,GA,3,0,0,0,0,0,n,(229) 432-1712,,,,,,
425,Red Fox,,0,0,Alpharetta,GA,3,0,0,0,0,0,n,(770) 642-6822,(770) 518-0889,,jrmaj@bellsouth.net,,,Dave
426,Athens Cab,,0,0,Athens,GA,3,0,0,0,0,0,n,(706) 546-0055,,,,,,
427,Golden Taxi,,0,0,Athens,GA,3,0,0,0,0,0,n,(706) 351-7785,,,,,,
428,Top Dawg,,0,0,Athens,GA,2,0,0,0,0,0,n,(706) 552-0744,(706) 850-6226,,,,$$$$,
429,American Expediting,,0,0,Atlanta,GA,3,0,1,0,0,0,n,(770) 997-8055,(770) 997-8914,,,,,
430,"Apple Courier, Inc.",,0,0,Atlanta,GA,5,0,1,0,0,0,n,(770) 434-3944,(770) 434-0177,,,770-597-3412,not for long,Tammy-Tracey
431,Cannon Express,,0,0,Atlanta,GA,3,0,0,0,0,0,n,(888) 552-5451,(404) 351-4788,,,,,Frank
432,Christen,,0,0,Atlanta,GA,5,6292,1,0,0,0,n,(770) 896-1754,,,cobrientransporters@comcast.net,,City Bank,
433,Courier Net,,0,0,Atlanta,GA,4,0,0,0,0,0,n,(770) 953-4600,(770) 953-4616,#169,,,,
434,Jaime Soto,,0,0,Atlanta,GA,4,6285,0,1,0,0,n,(678) 740-1509,,,,,long or hazmat,
435,Jaime Soto,,0,0,Atlanta,GA,4,6285,0,1,0,0,n,(678) 740-1509,,,,,,
436,Lasership Atlanta,,0,0,Atlanta,GA,3,0,0,0,0,0,n,(877) 527-5500,(404) 872-8650,,,,,Robin
437,On Point Transportation,,0,0,Atlanta,GA,3,0,0,0,0,0,"t,v",(678) 929-7874,(770) 731-0560,,,,,
438,On The Move,,0,0,Atlanta,GA,3,0,0,0,0,0,n,(404) 580-4321,,,,,,Niyyaj
439,PTS,,0,0,Atlanta,GA,3,0,0,0,0,0,t,(404) 496-8263,(404) 437-6798,,,,,Christian
440,Quality Courier,,0,0,Atlanta,GA,5,0,0,0,0,0,n,(678) 750-0600,(229) 375-0713,,,,check rates for long,
441,RCJ Logistics,,0,0,Atlanta,GA,3,0,0,0,0,0,"t,v",(404) 947-5995,,,,,"24', 53'",
442,Robert Robertson,,0,0,Atlanta,GA,3,0,0,0,0,0,n,(770) 987-2301,,,,,,
443,A&U Delivery,,0,0,Augusta,GA,3,0,0,0,0,0,n,(706) 481-8844,,,,,,
444,Augusta Delivery Service,,0,0,Augusta,GA,3,0,0,0,0,0,n,(706) 855-7343,(706) 793-4343,,,,,Chuck Fields
445,C'S Delivery,,0,0,Augusta,GA,3,0,0,0,0,0,n,(706) 733-6763,(706) 733-6765,,cooklindell@bellsouth.net,,,
446,Monroe,,0,0,Augusta,GA,5,0,0,0,0,0,n,(850) 650-2300,(877) 887-1397,,,,,
447,Yellow Cab,,0,0,Augusta,GA,3,0,0,0,0,0,n,(706) 733-3444,(706) 733-1400,,,,,Brad
448,PC Transportation,,0,0,Bainbridge,GA,3,0,0,0,0,0,n,(229) 248-0348,,,pctransportation01@yahoo.com,,,
449,Paddy's Taxi,,0,0,Blairsville,GA,2,0,0,0,0,0,n,(706) 300-7143,,,,,$$$,
450,Island cab,,0,0,Brunswick,GA,3,0,0,0,0,0,n,(912) 634-0113,,,ZERTHM@AOL.COM,,,
451,Metro Cab,,0,0,Brunswick,GA,3,0,0,0,0,0,n,(912) 554-2000,,,,,,
452,Carrollton Taxi,,0,0,Carrollton,GA,3,0,0,0,0,0,n,(770) 940-1884,,,,,,
453,Blue Express Transport,,0,0,Columbus,GA,3,0,0,0,0,0,n,(706) 221-8381,(888) 258-3397,,,,,Adrian
454,Blue streak,,0,0,Columbus,GA,3,0,0,0,0,0,n,(888) 258-7875,,,,,,
455,Liberty Taxi,,0,0,Columbus,GA,3,0,0,0,0,0,n,(706) 569-9300,,,,,,Matthew
456,Red Racer,,0,0,Columbus,GA,5,0,1,0,0,0,n,(706) 687-0003,(706) 687-0002,,jrmaj@bellsouth.net,c: 706-577-1953,,Luke
457,Quality Courier,,0,0,Conyers,GA,5,0,0,0,0,0,n,(678) 750-0600,(678) 750-0605,,,,Atlanta long runs,Ken Carter
458,Colorholics,,0,0,Duluth,GA,3,0,0,0,0,0,"c,v",(404) 649-2606,,,,,,
459,HotShot Courier Inc,,0,0,Duluth,GA,3,0,0,0,0,0,n,(678) 380-5929,(678) 380-6840,,,,,Gayla
460,Checker Cab,,0,0,Evans,GA,3,0,0,0,0,0,n,(706) 284-5917,,,,,,
461,Comfort Chauffeured Services,,0,0,Lawrenceville,GA,3,0,0,0,0,0,n,(800) 497-3598,,,,,,Omari
462,American Expediting Company,,0,0,Lilburn-Atlanta,GA,3,0,0,0,0,0,n,(770) 931-8953,(707) 717-0450,,exoduslamore@yahoo.com,,2.50local-3.50long,Lanre
463,Beck N Call Courier,,0,0,Macon,GA,4,0,0,0,0,0,n,(478) 832-1578,,,,c: 478-234-0523,fka Advance,Becky
464,Courier Solution,,0,0,Macon,GA,4,0,0,0,0,0,n,(478) 750-8553,(478) 750-8595,,,,,
465,Stat Courier,,0,0,Macon,GA,2,0,0,0,0,0,n,(478) 743-9549,,,,,$$$$,
466,Courier Net,,0,0,Marietta,GA,3,0,0,0,0,0,n,(770) 953-4600,(770) 953-4616,#12062,,,,
467,Phoenix Cannon express,,0,0,Marietta,GA,3,0,0,0,0,0,n,(404) 351-5451,,,,,,Poppy
468,Kingsley Transport,,0,0,McDonough,GA,3,0,0,0,0,0,"t,v",(678) 833-5285,(678) 545-0151,#MC455126,,,,Jacob
469,PC-Copynet,,0,0,McDonough,GA,3,0,0,0,0,0,n,(678) 251-8138,,,info@pc-copynet.com,,s of atlanta,Juan
470,Ed & Edwina Redmond,,0,0,Phenix City,GA,3,0,0,0,0,0,n,,,,,,,
471,Michael Shelly Moody,,0,0,Port Royal,GA,3,0,0,0,0,0,n,(843) 252-6089,(866) 445-1417,,,,,
472,RedFox,,0,0,Roswell,GA,3,0,0,0,0,0,n,(770) 642-6822,,,,,,Dave Dominy
473,B Kerr Courier Service,,0,0,Savannah,GA,5,0,0,0,0,0,n,(912) 786-6910,(912) 234-7872,,bkerrcourierco@bellsouth.net,,,Larry
474,Roush's Delivery,,0,0,Savannah,GA,3,0,0,0,0,0,n,(912) 236-6922,(912) 236-7026,,,,,Dave 
475,Salt Creek Couriers,,0,0,Savannah,GA,3,0,0,0,0,0,n,(912) 677-0177,,,,912-657-1957,,David Newman
476,Top Cab,,0,0,St. Marys,GA,3,0,0,0,0,0,n,(912) 973-6900,(912) 882-3996,,,,,Charles-janice
477,B Kerr Courier Service,,0,0,Tybee Island,GA,3,0,0,0,0,0,n,(912) 786-6910,(912) 234-7872,,,,,
478,Reliable Courier,,0,0,Valdosta,GA,3,0,0,0,0,0,n,(229) 560-4239,(229) 232-4118,,dfrey@reliablecourier.net,,,Amanda
479,Stat Medical,,0,0,Waycross,GA,3,0,0,0,0,0,n,(229) 834-4189,,,,,,
480,Taxi,,0,0,Waycross,GA,3,0,0,0,0,0,n,(912) 227-1188,,,,,,Trey Carter
481,Courier Corp of Hawaii,,0,0,Honolulu,HI,3,0,0,0,0,0,n,(888) 526-0306,(808) 534-0165,,alert@cchawaii.com,,all islands,Nick
482,Priority One,,0,0,Honolulu,HI,3,0,1,0,0,0,n,(808) 840-1011,(808) 840-1015,,OOCH3075@HAWAIIANTEL.NET,,,Carol
483,Quick Courier,,0,0,Honolulu,HI,3,0,0,0,0,0,n,(888) 418-8482,(808) 524-0034,,,,,
484,Rabbit Transit,,0,0,Honolulu,HI,3,0,0,0,0,0,n,(888) 698-4273,(808) 969-1402,,,,,Newton
485,Pacific Isle,,0,0,"Kahului, Maui",HI,3,0,0,0,0,0,n,(808) 871-8717,(808) 871-6577,,,,,Kim
486,Paradise Express,,0,0,"Kahului, Maui",HI,3,0,0,0,0,0,n,(808) 877-4979,(866) 732-4394,,,,,
487,Joseph Ferin ,,0,0,Ames,IA,4,6298,0,1,0,0,n,(515) 991-6275,,,,,,
488,Arrow Express,,0,0,Cedar Rapids,IA,3,0,0,0,0,0,n,(319) 362-8244,(319) 362-5547,,,,,
489,Century Cab,,0,0,Cedar Rapids,IA,3,0,0,0,0,0,n,(319) 365-0505,,,,,,
490,Corridor Courier,,0,0,Cedar Rapids,IA,3,0,0,0,0,0,n,(319) 351-3881,(319) 337-6302,,,,,
491,Springman Eagle Express,,0,0,Cedar Rapids,IA,3,0,0,0,0,0,n,(319) 362-2356,,,hspringman@gmail.com,,,Haley
492,"Action Couriers, Inc",,0,0,Davenport ,IA,3,0,0,0,0,0,n,(563) 650-3966,,,,,,
493,Arrow Transfer & Courier Services,,0,0,Davenport ,IA,3,0,0,0,0,0,n,(309) 764-3291,(309) 764-3314,,,,,Thomas 
494,Berry Express,,0,0,Davenport ,IA,4,0,0,0,0,0,n,(563) 349-4533,(515) 265-0705,,,,,
495,Adam Swartz ,,0,0,Des Moines,IA,3,6239,0,0,0,0,n,(515) 205-2176,,,gvivier1@mchsi.com,,,
496,Berry Express,,0,0,Des Moines,IA,4,0,0,0,0,0,n,(563) 349-4533,,,,,,
497,Gene's Transportation,,0,0,Des Moines,IA,3,0,0,0,0,0,n,(515) 249-1127,(515) 278-8133,,gvivier1@mchsi.com,,$$$$ get quote 1st,
498,Kings Delivery Service,,0,0,Des Moines,IA,3,0,0,0,0,0,n,(515) 243-5269,(515) 244-6817,,,,"$240 to Ft.Madison,IA",Jerry
499,Starlight Taxi,,0,0,Dubuque,IA,3,0,0,0,0,0,n,(563) 451-5351,,,lightcaps@netzero.net,"c: 563-552-2028, 563-580-8005",,Mark
500,Capital Express,,0,0,Fort Dodge,IA,3,0,0,0,0,0,n,(800) 895-3583,(515) 955-7772,,,,call Omaha office,
501,A better Way Express,,0,0,Hiawatha,IA,3,0,0,0,0,0,n,(319) 365-9192,(319) 365-9195,,,,,Bill
502,United American Cab,,0,0,Keokuk,IA,3,0,0,0,0,0,n,(319) 524-5555,,,,,,
503,Express Cab,,0,0,Mason City,IA,3,0,0,0,0,0,n,(641) 423-4167,(641) 423-3447,,,,,Kathy
504,Sioux Land Taxi,,0,0,Sioux City,IA,3,0,0,0,0,0,n,(712) 277-0000,(712) 252-5259,,,,,
505,A2Z Taxi & Delivery,,0,0,W Burlington,IA,3,0,0,0,0,0,n,(319) 752-6866,,,,o: 319-572-5378,,
506,A1 Taxi,,0,0,Waterloo,IA,3,0,0,0,0,0,n,(319) 233-8294,,,jessicamorrow74@gmail.com,,,Aaron
507,Benjamins Couriers,,0,0,Waterloo,IA,2,0,0,0,0,0,n,(319) 234-3395,(319) 234-1151,,info@benjaminx.com,,$$$$ ,Benjamin
508,Fleet St Courier,,0,0,Boise,ID,3,0,1,0,0,0,n,(208) 384-0472,,,dispatch@fleetstreetcouriers.com,,,
509,MLS,,0,0,Boise,ID,3,0,0,0,0,0,n,(208) 378-7500,(208) 378-7503,#1736,,,fka Action,
510,Rush Delivery,,0,0,Coeur D'Alene,ID,3,0,0,0,0,0,n,(208) 772-7874,,,jon@gorushdelivery.com,,,
511,Rush Delivery,,0,0,Dalton gardens,ID,3,0,0,0,0,0,n,(208) 772-7874,,,,,,
512,Teton Delivery - Hammon Services,,0,0,Idaho Falls,ID,3,0,1,0,0,0,n,(208) 529-0661,(208) 529-0662,,,,,
513,LC Courier,,0,0,Lewiston,ID,3,0,0,0,0,0,n,(208) 816-9281,,,k6585@yahoo.com,,,
514,"Action Couriers, Inc",,0,0,Pocatello,ID,3,0,0,0,0,0,n,(208) 237-4289,,,,,,
515,Marks Daily Cab,,0,0,Pocatello,ID,3,0,0,0,0,0,n,(208) 223-0263,,,,,,
516,Yellow cab,,0,0,Pocatello,ID,3,0,0,0,0,0,n,(208) 237-8294,,,,,,
517,Michael Gill,,0,0,Twin Falls,ID,3,6283,0,0,0,0,"c,t,v",(208) 934-7182,,,,208-934-7182,,
518,JJ Straight Line,,0,0,Aurora,IL,3,0,0,0,0,0,n,(630) 991-0860,,,johndodo@comcast.net,,,
519,Red Top Cab,,0,0,Bloomington,IL,3,0,0,0,0,0,n,(309) 825-5511,,,,,,
520,Zeschke Delivery,,0,0,Bloomington,IL,3,0,0,0,0,0,"c,t,v",(309) 661-3744,(309) 585-2208,,,Rick: 309-531-9656,,
521,G&C,,0,0,Champaign,IL,3,0,0,0,0,0,n,(217) 379-3506,,,,c: 217-621-3506,,Mark
522,Jack Anderson,,0,0,Champaign,IL,4,6256,0,0,0,0,v,(217) 419-3595,,,,,,
523,James Panzer,,0,0,Champaign,IL,3,6281,1,0,1,0,n,(217) 766-3704,,,,,,
524,Jason Weber ,,0,0,Champaign,IL,4,6262,0,0,0,0,n,(217) 202-1695,,,,,,
525,Suzanne Olaivar,,0,0,Champaign,IL,3,6275,0,0,0,0,n,(217) 772-1398,,,,,,
526,Calvin McPeak,,0,0,Chicago,IL,3,0,0,0,0,0,n,(773) 459-8145,,,,109*423838*19,Nights & Weekends,
527,Chicago Messenger Service ,,0,0,Chicago,IL,5,0,0,0,0,0,n,(312) 666-6800,(312) 997-2528,#U00633,,Dan (scheduled runs): 312-997-2602,not long,
528,Duo Trucking,,0,0,Chicago,IL,2,0,0,1,0,0,t,(630) 690-0840,,,,,"$$$, duotrucking.com",
529,Healthex,,0,0,Chicago,IL,1,0,0,0,0,0,n,(708) 234-9944,-,,,,"the worst, not time sensitive",
530,Priority Expedited,,0,0,Chicago,IL,3,0,0,0,0,0,t,(847) 495-2763,(224) 676-1929,,,,,
531,Spin courier Service,,0,0,Chicago,IL,4,0,1,0,0,0,n,(630) 825-4879,,,nmohd@spincoserv.com,,mnazr427@gmail.com,Nazar
532,Trusted & Reliable Delivery,,0,0,Chicago,IL,3,0,0,0,0,0,t,7739828321 ,-,,,,,Tamara
533,United Express,,0,0,Chicago,IL,3,0,0,0,0,0,n,(630) 922-4200,,,,,,Brad-owner
534,Zee Express Courier,,0,0,Chicago,IL,5,0,1,0,0,1,n,(773) 301-0790,(630) 595-2175,,zee.express@gmail.com,,,Zahir
535,American Expediting,,0,0,Chicago-Bensenville,IL,3,0,1,0,0,0,n,(630) 350-2617,(630) 350-4881,,,,,
536,Priority Mail & Messenger ,,0,0,Chicago-Schiller Park-O'Hare,IL,3,0,0,0,0,0,n,(847) 671-6633,(847) 671-9490,#210066,orderentry@prioritylogistics.com,,1.65,
537,SLAM Express Delivery,,0,0,Davenport ,IL,3,0,0,0,0,0,n,(309) 230-4262,(309) 764-5609,,,,,
538,JJ Straight line,,0,0,DeKalb,IL,3,0,0,0,0,0,n,(630) 991-0860,,,johndodo@comcast.net,,,
539,P&J Express,,0,0,DeKalb,IL,3,0,0,0,0,0,t,(630) 561-1621,(815) 758-5056,,,,14',Philip
540,Holly’s Delivery,,0,0,Gurnee Mills,IL,3,0,0,0,0,0,n,(847) 338-0601,(847) 548-4785,,,,,
541,Auto Pro,,0,0,Jacksonville,IL,3,0,0,0,0,0,n,(217) 883-9493,,,,,,
542,Red Top Cab,,0,0,Marion,IL,3,0,0,0,0,0,n,(618) 977-1098,,,,,,
543,Fastway Messengers,,0,0,Mokena,IL,3,0,0,0,0,0,n,(815) 464-1765,,,,,,
544,Arrow Transfer & Courier Services,,0,0,Moline,IL,3,0,0,0,0,0,n,(309) 764-3291,(309) 764-3314,,,,,Thomas 
545,SLAM Express Delivery,,0,0,Moline,il,3,0,0,0,0,0,n,(309) 230-4262,,,,,,
546,Speedy Delivery,,0,0,Normal,IL,3,0,0,0,0,0,n,(309) 828-1919,,,,,,Donnie
547,Kemper express,,0,0,Peoria,IL,3,0,0,0,0,0,n,(309) 674-8523,(309) 674-2811,,,,,
548,Pony Express,,0,0,Peoria,IL,3,0,0,0,0,0,n,(309) 229-3870,(309) 966-3068,,,,24' straight,
549,Tri County Cab,,0,0,Peoria,IL,2,0,0,0,0,0,n,(309) 497-1111,,,,,$$,
550,PDQ,,0,0,Peru,IL,3,0,0,0,0,0,"c,t,v",(815) 223-2949,(815) 223-6889,,,,,Lynn
551,Heartland Delivery,,0,0,Quincy,IL,3,0,0,0,0,0,n,(217) 257-6216,,,,,,Jene
552,Blue Diamond -Lynn Bunger,,0,0,Rockford,IL,3,0,0,0,0,0,n,(815) 291-3530,,,,Rose: 708-259-3354,,
553,Mariner -John Bunger,,0,0,Rockford,IL,5,0,0,0,0,0,n,(815) 821-1050,,,marinersolutionsinc@gmail.com,,good rates for far,
554,SpeeDee Courier,,0,0,Rockford,IL,3,0,0,0,0,0,n,(815) 962-0476,(815) 963-0112,,,,,Carl
555,ABCD Courier,,0,0,Springfield,IL,4,0,0,0,0,0,n,(217) 993-1758,(217) 529-9767,,,,,Dick
556,R&D Delivery,,0,0,Springfield,IL,3,0,0,0,0,0,n,(217) 787-3221,,,,,,David
557,Snap your fingers,,0,0,Springfield,IL,3,0,0,0,0,0,n,(217) 341-4012,(217) 753-3610,,,,,
558,Unlimited Exposure,,0,0,Wonder Lake,IL,3,0,0,0,0,0,n,(847) 867-7600,,,,,,
559,Red Tire Taxi,,0,0,Bloomington,IN,3,0,0,0,0,0,n,(812) 250-8887,,,rtt@redtiretaxi.com,,,
560,Same Day Courier Service,,0,0,Carmel,IN,3,0,0,0,0,0,n,(317) 846-7654,(317) 846-7708,,sameday1044@aol.com,,"BCBS, samedaycourierservice.org",Mary Ruth
561,A Fast Break Taxi,,0,0,Columbus,IN,3,0,0,0,0,0,n,(812) 374-9279,,,,,,
562,Another Taxi,,0,0,Columbus,IN,3,0,0,0,0,0,n,(812) 371-0794,,,,,,
563,Ace Cab Lines,,0,0,Elkhart,IN,3,0,0,0,0,0,n,(574) 295-6886,,,,Alby: 574-255-9908,,
564,Associated,,0,0,Elkhart,IN,3,0,0,0,0,0,n,(574) 264-1782,,,,,,
565,advanced medical equip,,0,0,Evansville,IN,3,0,0,0,0,0,n,(812) 454-5588,(812) 473-8932,,lennyj37@hotmail.com,,min $55.aftrhrs$75,Lenny
566,Blue Ribbon,,0,0,Evansville,IN,3,0,0,0,0,0,n,(812) 867-8904,(812) 867-8906,,,,,
567,Berkes Enterprises,,0,0,Ft Wayne,IN,3,0,0,0,0,0,n,(260) 442-0046,(260) 489-0143,,,,,Mike
568,Mary's Get & Go,,41.1038968,-85.0542459,Ft Wayne,IN,4,0,0,0,0,0,n,(260) 749-7273,(260) 749-7273,,marysgandg@frontier.com,260-493-1149,,"Mary, Roger"
569,Now Courier,,0,0,Ft Wayne,IN,3,0,0,0,0,0,n,(260) 747-2393,(260) 747-2390,,,,,Sean
570,Johnny on the Spot,,0,0,Ft. Wayne,IN,2,0,0,0,0,0,n,(260) 747-0748,(260) 969-8563,#8563,,,$$$$,
571,Courier Expedited Delivery,,0,0,Goshen,IN,3,0,0,0,0,0,n,(574) 875-4150,(574) 875-4170,,,,,Steve
572,Fairway Xpress,,0,0,Greenwood,IN,3,0,0,0,0,0,n,(615) 365-0500,,#7916,,,,
573,American Expediting,,0,0,Indianapolis,IN,3,0,1,0,0,0,n,(317) 791-9909,(317) 791-9908,,,,,
574,Astro Courier,,0,0,Indianapolis,IN,3,0,0,0,0,0,n,(317) 913-0419,(317) 913-0425,,,,$$$ No long,Rhonda
575,CC's Courier,,0,0,Indianapolis,IN,1,0,0,0,0,0,n,(317) 856-7902,,,,317-455-9423,last resort,
576,Edward Margetos,,0,0,Indianapolis,IN,3,0,0,0,0,0,n,(317) 712-6732,,,,,Bobby's friend,
577,Fleet St. Courier,,0,0,Indianapolis,IN,3,0,0,0,0,0,v,(317) 319-8784,,,bobbyjeff54@aol.com,317-357-2547,,Bobby
578,Gotta Have it,,0,0,Indianapolis,IN,3,0,0,0,0,0,n,(317) 783-4892,(317) 783-4879,,,,,
579,JS Logistics,,39.7411713,-86.2514681,Indianapolis,IN,5,0,0,0,0,0,n,(800) 814-2634,(317) 486-0944,,,317-486-0922,,#i424
580,Now Courier,,0,0,Indianapolis,IN,3,0,0,0,0,0,n,(800) 362-7850,(574) 233-1391,#58865,DispatchGroup@nowcourier.com,,,
581,Same Day Courier Service,,0,0,Indianapolis,IN,3,0,0,0,0,0,n,(317) 846-7654,(317) 846-1108,,,,,Ryan
582,Star Express,,0,0,Indianapolis,IN,5,0,0,0,0,0,"c,v",(317) 820-6032,,,starexxp@gmail.com,,$1-mi,Omar
583,Velox,,39.612941,-86.1088511,Indianapolis,IN,3,0,0,0,0,0,n,(877) 835-6946,,,,,,
584,Kokomo Concessions-Delivery,,0,0,Kokomo,IN,3,0,0,0,0,0,n,(765) 271-9134,,,,,good for locals,
585,Coyote Express,,0,0,Lafayette,IN,3,0,0,0,0,0,n,,,,,,,
586,Magic Cab,,0,0,Lafayette,IN,3,0,0,0,0,0,n,(765) 742-8400,(765) 449-9822,,lesterchaney9977@gmail.com,,,David
587,Speedy Delivery Service,,0,0,Osceola,IN,3,0,0,0,0,0,n,(574) 679-4400,,,,,,
588,Hometown Deliver Service,,0,0,Richmond,IN,3,0,0,0,0,0,n,(765) 967-0219,,,,a: 765-977-8572,genoptix,
589,Old Richmond Taxi,,0,0,Richmond,IN,3,0,0,0,0,0,n,(765) 939-7311,(765) 935-0233,,,,,
590,CW Leasing,,0,0,South Bend,IN,3,0,0,0,0,0,t,(574) 231-0881,(574) 231-0885,,,,big rigs,Hovie
591,DJ's Direct,,0,0,South Bend,IN,3,0,0,0,0,0,n,(574) 289-8901,(574) 232-6355,,DJSDDX@gmail.com,,kronewitterron@gmail.com,
592,Express Cab,,0,0,South Bend,IN,3,0,0,0,0,0,n,donotuse,,,,,,
593,MDS Priority Express,,0,0,South Bend,IN,2,0,0,0,0,0,n,(800) 383-6817,(269) 683-6855,,,,BAD SERVICE,Granny
594,Now Courier,,0,0,South Bend,IN,3,0,0,0,0,0,n,(317) 638-6066,,#58865,,,,
595,Marksman Cab,,0,0,Tell City,IN,3,0,0,0,0,0,n,(812) 547-4229,,,,,,
596,Taylor Courier,,0,0,Terre Haute,IN,3,0,0,0,0,0,n,(812) 235-6899,(812) 238-3858,,,,,
597,We do Delivery,,0,0,Vincennes,IN,3,0,0,0,0,0,n,(812) 291-1031,,,,,,
598,NikJen's Delivery,,0,0,Warsaw,IN,3,0,0,0,0,0,n,(269) 808-1614,(269) 903-2727,,,,,
599,Leo's Taxi,,0,0,Dodge City,KS,3,0,0,0,0,0,n,(620) 338-2416,(620) 371-7056,,,,,
600,Quality Cab,,0,0,Garden City,KS,3,0,0,0,0,0,n,(620) 275-8294,(620) 276-2317,,,,,
601,D&A Trucking,,0,0,Haven,KS,3,0,0,0,0,0,t,(620) 465-3370,(620) 465-2697,,,,(underground vault),
602,Greater Kansas Limo,,0,0,Hays,KS,3,0,0,0,0,0,n,(785) 628-7411,,,,785-635-6156,,
603,Kwik Kourier,,0,0,Hutchinson,KS,3,0,0,0,0,0,n,(620) 665-5152,(620) 665-5045,,,Connie: 620-727-5162,,Norman
604,Bell Taxi,,0,0,Junction City,KS,3,0,0,0,0,0,n,(785) 238-6161,,,,,,Wendy
605,Jane Samarrai,,0,0,Manhattan,KS,3,0,0,0,0,0,n,(785) 210-7290,,,,,,
606,Global Security,,0,0,Ogden,KS,3,0,0,0,0,0,n,(785) 539-8200,(785) 539-8204,,globalsecurity@sbcglobal.com,,,Barry Southon
607,Sunflower Taxi & Courier,,0,0,Salina,KS,3,0,0,0,0,0,n,(785) 826-1881,(785) 826-1854,,,Bryan: 785-826-1870,,
608,Belles Delivery,,0,0,Topeka ,KS,3,0,0,0,0,0,n,(785) 272-0280,(785) 272-0390,,,,,
609,Capital Mail Service,,0,0,Topeka ,KS,3,0,0,0,0,0,n,(785) 640-3326,,,,,check price,clarence
610,Henry Industries,,0,0,Topeka ,KS,3,0,0,0,0,0,n,(316) 267-7222,(785) 232-3060,,,316-641-9058,,Spencer
611,Boyd-Total Delivery,,0,0,Westwood,KS,3,0,0,0,0,0,n,(913) 677-6700,(913) 384-9200,,,,,Randy
612,AB Express-ASAP Delivery,,0,0,Wichita,KS,4,0,0,0,0,0,n,(316) 267-2226,(316) 267-2633,,,,,Cheryl
613,Henry Industries,,0,0,Wichita,KS,4,0,0,0,0,0,n,(316) 267-7222,(316) 264-5774,,,,BCBS,Spencer
614,Leadfoot Express,,0,0,Wichita,KS,5,0,1,0,0,0,"c,t,v",(316) 540-9991,,,dispatch@leadfootexpress.com,,fka American,Mike
615,Metro Courier Service,,0,0,Wichita,KS,3,0,0,0,0,0,n,(316) 522-8008,(316) 522-0065,,,,,Randy
616,ABCO Courier,,0,0,Alvanton,KY,3,0,0,0,0,0,n,,(270) 843-4222,,,,,Diane
617,River Cities Courier,,0,0,Ashland,KY,3,0,0,0,0,0,n,(606) 324-0656,,,,,,
618,The New You,,0,0,Ashland,KY,3,0,0,0,0,0,n,(606) 571-2403,,,thenewu100@gmail.com,,,Bill
619,ABCO Courier,,36.9924546,-86.4437523,Bowling Green,KY,3,0,0,0,0,0,n,(270) 842-2355,(270) 842-4222,,,,,Barry
620,Arrive Alive Taxi,,0,0,Bowling Green,KY,3,0,0,0,0,0,n,(270) 202-8294,,,,,,
621,Dependable Courier,,0,0,Bowling Green,KY,3,0,0,0,0,0,n,(615) 445-3711,,,,,,
622,Taxi guy,,0,0,Bowling Green,KY,3,0,0,0,0,0,n,(270) 681-7729,,,,,,
623,BG Courier Inc,,0,0,Covington-Villa Hills,KY,3,0,0,0,0,0,n,(859) 341-1665,(859) 341-1665,,rccourt@zoomtown.com,c: 859-653-4971,,Ron
624,ASAP Towing,,0,0,Danville,KY,3,0,0,0,0,0,t,(859) 239-2727,,,,,Flat bed,
625,City Cab,,0,0,Elizabethtown,KY,3,0,0,0,0,0,n,(270) 268-9560,(270) 769-6439,,,,,Steve
626,Treasure Chest Mini Storage,,0,0,Elizabethtown,KY,3,0,1,0,0,0,n,(270) 351-2225,(27) 035-1222,,,,STA drivers,
627,Marksman Cab,,0,0,Lewisport,KY,3,0,0,0,0,0,n,(812) 547-4229,,,,,,
628,Barbara Johnson,,0,0,Lexington,KY,4,6274,0,0,0,0,n,(859) 433-4758,,,,,5pm-11pm+weeknd,
629,"Bee-Line Delivery Service, Inc.",,0,0,Lexington,KY,3,0,0,0,0,0,n,(502) 964-9969,(502) 964-9693,,,,,
630,Jonathan Carter,,0,0,Lexington,KY,3,7706,0,0,0,0,n,(859) 940-8431,,,,,long,
631,Kentucky Courier,,0,0,Lexington,KY,1,0,0,0,0,0,n,(859) 971-1088,,,,,,
